county,todays date,hospitalized covid confirmed patients,hospitalized suspected covid patients,hospitalized covid patients,all hospital beds,icu covid confirmed patients,icu suspected covid patients,icu available beds
Tehama,3/29/2020,0,0,,,0,0,2
Santa Clara,3/29/2020,141,72,,,65,15,70
San Francisco,3/29/2020,50,73,,,24,10,61
Inyo,3/29/2020,,,,,,,
El Dorado,3/29/2020,0,6,,,0,3,3
San Joaquin,3/29/2020,34,35,,,5,2,7
Sutter,3/29/2020,0,0,,,0,0,
Nevada,3/29/2020,23,,,,1,0,3
Calaveras,3/29/2020,,,,,,,
Sonoma,3/29/2020,7,20,,,2,5,12
Tulare,3/29/2020,6,13,,,5,3,7
Ventura,3/29/2020,24,85,,,5,19,14
Santa Cruz,3/29/2020,0,0,,,0,0,
Yolo,3/29/2020,2,3,,,1,1,0
San Diego,3/29/2020,121,211,,,77,39,205
Modoc,3/29/2020,0,0,,,0,0,
Colusa,3/29/2020,,,,,,,
Kings,3/29/2020,2,5,,,1,0,2
San Mateo,3/29/2020,46,27,,,16,10,28
Shasta,3/29/2020,0,0,,,0,0,
Lassen,3/29/2020,0,2,,,0,0,
Stanislaus,3/29/2020,20,48,,,9,8,25
Riverside,3/29/2020,44,78,,,13,20,46
Mendocino,3/29/2020,1,11,,,0,0,1
Merced,3/29/2020,1,7,,,0,0,3
Orange,3/29/2020,74,167,,,31,40,131
Alameda,3/29/2020,36,91,,,20,16,119
San Bernardino,3/29/2020,33,123,,,19,20,65
Fresno,3/29/2020,8,116,,,3,14,22
Siskiyou,3/29/2020,0,0,,,0,0,2
San Luis Obispo,3/29/2020,7,12,,,3,4,948
Del Norte,3/29/2020,1,2,,,0,0,3
Monterey,3/29/2020,2,16,,,1,2,10
Plumas,3/29/2020,0,1,,,0,1,
Napa,3/29/2020,0,26,,,,,5
Madera,3/29/2020,1,6,,,1,1,8
Santa Barbara,3/29/2020,15,21,,,9,3,47
Mono,3/29/2020,0,1,,,0,0,2
Yuba,3/29/2020,2,12,,,2,4,2
Lake,3/29/2020,0,1,,,0,1,2
Tuolumne,3/29/2020,1,5,,,0,0,0
Glenn,3/29/2020,,,,,,,
Kern,3/29/2020,16,57,,,8,8,39
Trinity,3/29/2020,0,0,,,0,0,
Butte,3/29/2020,,,,,,,
Placer,3/29/2020,18,14,,,4,1,10
Solano,3/29/2020,7,27,,,4,1,28
Marin,3/29/2020,7,13,,,2,6,11
Los Angeles,3/29/2020,489,1132,,,191,182,345
Imperial,3/29/2020,5,100,,,1,2,2
San Benito,3/29/2020,1,1,,,1,0,1
Sacramento,3/29/2020,36,27,,,12,18,50
Contra Costa,3/29/2020,23,62,,,8,15,62
Humboldt,3/29/2020,1,10,,,0,0,18
Amador,3/29/2020,1,0,,,0,0,2
Fresno,3/30/2020,10,88,,,3,14,24
Lake,3/30/2020,0,1,,,0,1,3
Yuba,3/30/2020,3,17,,,2,4,10
Solano,3/30/2020,15,16,,,6,0,47
San Diego,3/30/2020,146,446,,,72,23,228
Stanislaus,3/30/2020,17,51,,,9,5,29
San Benito,3/30/2020,1,1,,,1,0,1
Contra Costa,3/30/2020,25,54,,,11,6,90
Glenn,3/30/2020,0,0,,,0,0,
Sacramento,3/30/2020,45,86,,,21,23,58
Calaveras,3/30/2020,0,3,,,0,1,5
Placer,3/30/2020,19,19,,,5,1,29
Imperial,3/30/2020,19,109,,,3,3,4
San Luis Obispo,3/30/2020,5,11,,,3,4,957
Orange,3/30/2020,98,251,,,42,58,131
Marin,3/30/2020,10,9,,,4,2,16
Nevada,3/30/2020,26,17,,,2,5,3
Sutter,3/30/2020,0,0,,,0,0,
Trinity,3/30/2020,0,0,,,0,0,
Tulare,3/30/2020,5,21,,,4,6,7
Los Angeles,3/30/2020,601,1277,,,245,244,456
Kern,3/30/2020,18,123,,,6,8,51
Lassen,3/30/2020,0,4,,,0,0,
Colusa,3/30/2020,0,1,,,0,1,5
Santa Cruz,3/30/2020,0,2,,,0,0,4
Napa,3/30/2020,3,8,,,1,0,9
Yolo,3/30/2020,2,2,,,1,2,0
Modoc,3/30/2020,0,31,,,0,0,
Shasta,3/30/2020,1,4,,,0,0,13
Mono,3/30/2020,0,1,,,0,0,2
Riverside,3/30/2020,60,133,,,22,33,77
Plumas,3/30/2020,0,1,,,0,0,
San Francisco,3/30/2020,58,92,,,18,7,90
Butte,3/30/2020,4,12,,,2,1,5
Kings,3/30/2020,2,12,,,1,2,0
Del Norte,3/30/2020,0,2,,,0,0,5
Tehama,3/30/2020,0,2,,,0,0,2
Merced,3/30/2020,1,9,,,0,2,11
Siskiyou,3/30/2020,0,0,,,0,0,3
San Mateo,3/30/2020,56,40,,,18,11,47
Amador,3/30/2020,0,1,,,0,0,4
Madera,3/30/2020,1,5,,,1,3,4
Humboldt,3/30/2020,1,8,,,0,0,10
Inyo,3/30/2020,,,,,,,
Sonoma,3/30/2020,7,22,,,3,4,29
Santa Barbara,3/30/2020,19,25,,,11,7,48
San Joaquin,3/30/2020,28,30,,,8,4,53
Monterey,3/30/2020,11,16,,,4,0,17
Santa Clara,3/30/2020,153,93,,,74,23,103
San Bernardino,3/30/2020,67,179,,,27,33,66
Alameda,3/30/2020,59,89,,,27,18,146
Ventura,3/30/2020,25,82,,,5,28,15
Mendocino,3/30/2020,2,11,,,0,1,8
Tuolumne,3/30/2020,1,2,,,0,0,3
El Dorado,3/30/2020,0,9,,,0,6,9
Imperial,3/31/2020,12,100,,,3,4,4
Sutter,3/31/2020,0,0,,,0,0,
Yuba,3/31/2020,2,21,,,2,4,6
Riverside,3/31/2020,80,155,,,28,59,75
Napa,3/31/2020,1,5,,,1,1,12
Inyo,3/31/2020,,83,,,0,0,6
Tulare,3/31/2020,6,14,,,4,5,9
San Joaquin,3/31/2020,44,54,,,14,5,28
Marin,3/31/2020,9,14,,,4,2,15
Santa Clara,3/31/2020,155,98,,,73,17,92
Solano,3/31/2020,15,15,,,6,5,42
Calaveras,3/31/2020,0,1,,,0,0,4
Butte,3/31/2020,4,20,,,2,3,2
Humboldt,3/31/2020,1,11,,,0,4,8
Los Angeles,3/31/2020,713,1239,,,315,239,445
Modoc,3/31/2020,0,19,,,0,0,
San Francisco,3/31/2020,67,69,,,30,14,77
Nevada,3/31/2020,36,40,,,2,1,6
Trinity,3/31/2020,0,0,,,0,0,
San Mateo,3/31/2020,60,23,,,18,5,37
Yolo,3/31/2020,3,2,,,2,2,1
Mono,3/31/2020,0,1,,,0,0,2
San Bernardino,3/31/2020,82,231,,,33,48,63
Tehama,3/31/2020,0,2,,,0,0,4
Madera,3/31/2020,1,3,,,1,0,5
Lake,3/31/2020,0,4,,,0,2,3
Colusa,3/31/2020,0,1,,,0,1,5
San Benito,3/31/2020,1,0,,,1,0,1
Monterey,3/31/2020,11,15,,,4,2,17
Orange,3/31/2020,105,233,,,45,44,131
Mendocino,3/31/2020,0,1,,,0,0,7
San Diego,3/31/2020,158,408,,,75,39,208
Siskiyou,3/31/2020,0,0,,,0,0,4
El Dorado,3/31/2020,10,9,,,0,6,12
Kings,3/31/2020,1,3,,,1,2,4
Santa Barbara,3/31/2020,19,29,,,14,7,48
Kern,3/31/2020,14,63,,,6,6,46
Lassen,3/31/2020,0,7,,,0,0,
Tuolumne,3/31/2020,0,37,,,0,0,4
Ventura,3/31/2020,21,90,,,5,24,12
Sacramento,3/31/2020,53,110,,,20,31,66
Amador,3/31/2020,0,0,,,0,0,4
Placer,3/31/2020,18,27,,,6,0,28
Del Norte,3/31/2020,0,4,,,0,0,3
Alameda,3/31/2020,56,94,,,27,17,77
Shasta,3/31/2020,1,5,,,1,0,4
Merced,3/31/2020,3,11,,,0,2,10
San Luis Obispo,3/31/2020,7,15,,,3,6,955
Sonoma,3/31/2020,8,18,,,3,3,21
Fresno,3/31/2020,30,274,,,4,19,23
Stanislaus,3/31/2020,20,31,,,9,1,34
Contra Costa,3/31/2020,27,54,,,11,10,68
Santa Cruz,3/31/2020,1,10,,,1,2,7
Glenn,3/31/2020,0,0,,,0,0,
Plumas,3/31/2020,0,0,,,0,0,
Del Norte,4/1/2020,0,5,,,0,0,3
Shasta,4/1/2020,1,4,,,0,1,13
Sonoma,4/1/2020,5,18,,,1,2,22
San Luis Obispo,4/1/2020,8,10,,,5,6,968
Mono,4/1/2020,0,0,,,0,0,2
San Francisco,4/1/2020,67,66,,,30,8,64
Yolo,4/1/2020,3,3,,,1,1,2
Humboldt,4/1/2020,1,9,,,0,3,7
Kern,4/1/2020,15,45,,,7,9,32
Kings,4/1/2020,2,6,,,1,2,1
Calaveras,4/1/2020,0,1,,,0,0,5
Contra Costa,4/1/2020,31,42,,,12,12,61
El Dorado,4/1/2020,14,8,,,1,3,9
Orange,4/1/2020,117,221,,,50,48,118
Lake,4/1/2020,0,2,,,0,0,2
San Bernardino,4/1/2020,95,196,,,39,52,34
Fresno,4/1/2020,19,101,,,5,13,53
Lassen,4/1/2020,0,7,,,0,0,
Stanislaus,4/1/2020,25,39,,,10,6,31
Imperial,4/1/2020,4,15,,,3,4,7
Ventura,4/1/2020,22,96,,,5,23,27
Butte,4/1/2020,5,33,,,2,4,9
Merced,4/1/2020,3,15,,,0,3,9
Alameda,4/1/2020,52,76,,,27,15,106
Marin,4/1/2020,9,19,,,4,2,14
Inyo,4/1/2020,7,89,,,0,0,6
Santa Cruz,4/1/2020,2,12,,,2,2,3
Amador,4/1/2020,0,3,,,0,0,2
Glenn,4/1/2020,,,,,,,
Tulare,4/1/2020,4,12,,,3,4,9
Los Angeles,4/1/2020,739,1332,,,335,220,492
Yuba,4/1/2020,2,24,,,2,4,6
Santa Clara,4/1/2020,160,85,,,77,15,91
San Benito,4/1/2020,2,0,,,2,0,0
Plumas,4/1/2020,0,0,,,0,0,
Monterey,4/1/2020,13,16,,,4,4,15
Trinity,4/1/2020,0,0,,,0,0,
San Diego,4/1/2020,168,340,,,71,32,215
San Mateo,4/1/2020,57,35,,,19,9,36
Mariposa,4/1/2020,0,0,,,0,0,
Santa Barbara,4/1/2020,23,23,,,15,6,51
Nevada,4/1/2020,36,54,,,0,4,3
Placer,4/1/2020,25,28,,,6,2,7
Modoc,4/1/2020,0,1,,,0,0,
Riverside,4/1/2020,85,182,,,29,47,76
Mendocino,4/1/2020,0,2,,,0,0,8
San Joaquin,4/1/2020,25,35,,,16,11,21
Tuolumne,4/1/2020,0,0,,,0,0,2
Sacramento,4/1/2020,53,138,,,20,33,74
Sutter,4/1/2020,0,0,,,0,0,
Madera,4/1/2020,1,3,,,1,0,4
Tehama,4/1/2020,0,1,,,0,1,4
Solano,4/1/2020,14,18,,,5,2,31
Colusa,4/1/2020,0,1,,,0,1,5
Napa,4/1/2020,2,2,,,0,1,9
Siskiyou,4/1/2020,0,5,,,0,2,3
Trinity,4/2/2020,0,0,,,0,0,
Placer,4/2/2020,32,15,,,9,0,11
Kings,4/2/2020,2,6,,,1,1,7
Mariposa,4/2/2020,0,1,,,0,0,
Mendocino,4/2/2020,0,1,,,0,0,8
Contra Costa,4/2/2020,32,38,,,13,10,73
Nevada,4/2/2020,38,58,,,2,1,6
Amador,4/2/2020,0,3,,,0,0,2
Imperial,4/2/2020,4,16,,,3,5,6
Stanislaus,4/2/2020,30,43,,,11,7,22
Sonoma,4/2/2020,8,18,,,1,0,10
Tehama,4/2/2020,0,1,,,0,1,4
Riverside,4/2/2020,136,181,,,45,49,104
Sacramento,4/2/2020,71,92,,,24,19,80
Siskiyou,4/2/2020,0,3,,,0,2,4
San Mateo,4/2/2020,62,40,,,26,4,26
Inyo,4/2/2020,8,102,,,0,1,3
Lassen,4/2/2020,0,7,,,0,0,
Sutter,4/2/2020,0,0,,,,,
Napa,4/2/2020,1,4,,,1,1,12
Alameda,4/2/2020,57,76,,,29,17,112
Ventura,4/2/2020,27,111,,,7,24,15
Humboldt,4/2/2020,1,8,,,0,2,8
San Bernardino,4/2/2020,126,185,,,50,45,37
Kern,4/2/2020,27,77,,,12,23,36
Colusa,4/2/2020,0,1,,,0,1,5
Merced,4/2/2020,4,5,,,0,1,3
Shasta,4/2/2020,2,4,,,1,0,10
San Diego,4/2/2020,144,343,,,69,35,206
Del Norte,4/2/2020,0,3,,,0,0,2
Lake,4/2/2020,0,1,,,0,0,2
Monterey,4/2/2020,14,14,,,4,2,12
Tulare,4/2/2020,4,26,,,4,5,3
Plumas,4/2/2020,0,0,,,0,0,
Butte,4/2/2020,4,26,,,2,2,12
Glenn,4/2/2020,0,0,,,0,0,
San Benito,4/2/2020,2,0,,,2,0,0
Santa Cruz,4/2/2020,4,4,,,3,0,7
Marin,4/2/2020,7,16,,,3,1,16
Fresno,4/2/2020,17,74,,,6,13,33
El Dorado,4/2/2020,15,12,,,0,6,10
Santa Clara,4/2/2020,163,101,,,69,19,95
Mono,4/2/2020,18,2,,,0,0,2
Santa Barbara,4/2/2020,26,44,,,18,10,47
Solano,4/2/2020,15,8,,,7,1,27
Los Angeles,4/2/2020,818,1270,,,346,193,488
Orange,4/2/2020,129,225,,,67,47,96
San Francisco,4/2/2020,75,60,,,32,11,58
Yuba,4/2/2020,2,25,,,2,6,4
Yolo,4/2/2020,3,2,,,2,3,0
Modoc,4/2/2020,0,1,,,0,0,
Calaveras,4/2/2020,0,1,,,0,0,5
San Luis Obispo,4/2/2020,5,5,,,4,4,966
San Joaquin,4/2/2020,42,42,,,20,7,17
Tuolumne,4/2/2020,0,0,,,0,0,2
Madera,4/2/2020,1,7,,,1,3,6
Orange,4/3/2020,131,182,,,66,36,151
Tulare,4/3/2020,6,15,,,5,2,3
Ventura,4/3/2020,22,116,,,6,28,56
Mariposa,4/3/2020,0,2,,,0,0,
Sutter,4/3/2020,0,0,,,,,
Yolo,4/3/2020,2,7,,,3,6,4
Monterey,4/3/2020,16,18,,,3,1,17
El Dorado,4/3/2020,15,9,,,0,4,14
Sonoma,4/3/2020,6,24,,,2,3,15
San Francisco,4/3/2020,80,71,,,39,8,74
Alameda,4/3/2020,64,74,,,32,13,117
Butte,4/3/2020,3,19,,,2,6,9
Napa,4/3/2020,1,9,,,0,1,9
Santa Clara,4/3/2020,164,83,,,71,17,97
San Diego,4/3/2020,171,308,,,84,28,216
Riverside,4/3/2020,105,182,,,44,59,127
Madera,4/3/2020,0,5,,,0,1,7
Humboldt,4/3/2020,1,7,,,0,0,10
San Mateo,4/3/2020,65,39,,,26,4,38
Stanislaus,4/3/2020,28,45,,,12,8,22
Tehama,4/3/2020,0,0,,,0,0,8
Trinity,4/3/2020,0,0,,,0,0,
Santa Cruz,4/3/2020,4,8,,,3,0,2
San Joaquin,4/3/2020,41,38,,,18,8,22
Amador,4/3/2020,0,0,,,0,0,1
Colusa,4/3/2020,1,0,,,1,0,5
Mendocino,4/3/2020,0,5,,,0,1,6
Modoc,4/3/2020,0,0,,,0,0,
Glenn,4/3/2020,0,0,,,0,0,
Solano,4/3/2020,16,21,,,7,5,23
Sacramento,4/3/2020,77,76,,,28,17,76
Kern,4/3/2020,35,73,,,12,16,47
Lake,4/3/2020,0,2,,,0,1,2
Del Norte,4/3/2020,0,2,,,0,0,2
Santa Barbara,4/3/2020,27,29,,,18,4,50
Shasta,4/3/2020,2,9,,,1,3,14
Calaveras,4/3/2020,0,1,,,0,0,5
San Luis Obispo,4/3/2020,4,5,,,3,2,967
Mono,4/3/2020,18,2,,,0,0,2
Yuba,4/3/2020,2,12,,,2,2,5
Inyo,4/3/2020,8,102,,,1,2,1
Nevada,4/3/2020,2,4,,,2,1,5
Fresno,4/3/2020,15,81,,,7,16,35
Imperial,4/3/2020,9,7,,,7,0,5
San Bernardino,4/3/2020,118,204,,,44,53,57
Contra Costa,4/3/2020,31,39,,,15,10,75
Kings,4/3/2020,0,3,,,1,0,3
Tuolumne,4/3/2020,0,0,,,0,0,1
Lassen,4/3/2020,0,3,,,0,0,
Placer,4/3/2020,21,23,,,10,1,7
Los Angeles,4/3/2020,962,1239,,,422,209,473
Merced,4/3/2020,4,5,,,1,1,4
Marin,4/3/2020,6,16,,,3,5,17
Plumas,4/3/2020,0,0,,,0,0,
Siskiyou,4/3/2020,0,3,,,0,1,4
San Benito,4/3/2020,2,0,,,2,0,0
Placer,4/4/2020,23,14,,,10,1,12
Mariposa,4/4/2020,0,2,,,0,0,
Lake,4/4/2020,0,4,,,0,1,4
Marin,4/4/2020,5,16,,,3,5,12
Napa,4/4/2020,1,8,,,0,1,6
Amador,4/4/2020,0,0,,,0,0,2
Mendocino,4/4/2020,0,3,,,0,1,7
El Dorado,4/4/2020,15,9,,,0,3,12
Tehama,4/4/2020,0,1,,,0,0,8
Sutter,4/4/2020,0,0,,,,,
Calaveras,4/4/2020,0,1,,,0,0,5
Madera,4/4/2020,0,4,,,0,0,8
Sonoma,4/4/2020,7,16,,,2,6,15
Fresno,4/4/2020,14,93,,,7,20,36
Santa Clara,4/4/2020,159,79,,,72,19,91
Solano,4/4/2020,16,19,,,7,2,23
Mono,4/4/2020,20,2,,,0,0,2
Glenn,4/4/2020,0,0,,,0,0,
Merced,4/4/2020,5,14,,,1,1,6
Inyo,4/4/2020,8,106,,,1,1,2
Imperial,4/4/2020,9,10,,,5,2,5
San Diego,4/4/2020,177,218,,,86,19,222
Orange,4/4/2020,143,213,,,70,45,153
San Bernardino,4/4/2020,138,254,,,51,66,67
Humboldt,4/4/2020,1,4,,,0,0,7
Tulare,4/4/2020,8,20,,,5,1,6
Santa Cruz,4/4/2020,4,6,,,3,0,7
Del Norte,4/4/2020,0,2,,,0,0,1
Ventura,4/4/2020,21,127,,,7,25,10
Siskiyou,4/4/2020,0,2,,,0,1,5
Modoc,4/4/2020,0,0,,,0,0,
Trinity,4/4/2020,0,0,,,0,0,
Colusa,4/4/2020,1,0,,,1,0,5
Kings,4/4/2020,1,9,,,1,0,0
Stanislaus,4/4/2020,30,45,,,12,9,26
San Mateo,4/4/2020,66,19,,,25,6,40
Sacramento,4/4/2020,69,76,,,25,18,82
Shasta,4/4/2020,2,10,,,4,0,13
Butte,4/4/2020,3,14,,,1,4,7
Lassen,4/4/2020,0,0,,,0,0,
San Joaquin,4/4/2020,43,30,,,16,7,24
San Benito,4/4/2020,2,3,,,2,0,0
Yuba,4/4/2020,2,16,,,2,2,7
Nevada,4/4/2020,2,6,,,2,2,5
Los Angeles,4/4/2020,1007,1190,,,449,181,537
Riverside,4/4/2020,126,186,,,39,56,125
Alameda,4/4/2020,60,95,,,35,18,120
Kern,4/4/2020,33,54,,,14,11,29
Plumas,4/4/2020,0,0,,,0,0,
Santa Barbara,4/4/2020,28,34,,,18,2,53
Monterey,4/4/2020,16,25,,,4,2,18
Contra Costa,4/4/2020,30,47,,,12,7,87
San Francisco,4/4/2020,80,65,,,37,7,79
Yolo,4/4/2020,4,5,,,3,3,4
Tuolumne,4/4/2020,0,1,,,0,1,2
San Luis Obispo,4/4/2020,4,6,,,3,3,954
Mariposa,4/5/2020,0,2,,,0,0,
Santa Cruz,4/5/2020,5,12,,,4,4,10
Colusa,4/5/2020,1,0,,,1,0,5
Mendocino,4/5/2020,0,3,,,0,2,4
Stanislaus,4/5/2020,30,25,,,14,5,30
San Joaquin,4/5/2020,46,24,,,17,4,19
Kings,4/5/2020,3,1,,,2,0,0
Imperial,4/5/2020,9,9,,,8,1,3
Placer,4/5/2020,23,13,,,10,1,10
Plumas,4/5/2020,0,0,,,0,0,
Mono,4/5/2020,20,2,,,0,0,2
Solano,4/5/2020,15,17,,,6,24,3
San Mateo,4/5/2020,69,15,,,24,6,36
Shasta,4/5/2020,8,11,,,4,0,13
Humboldt,4/5/2020,2,3,,,0,0,8
El Dorado,4/5/2020,16,6,,,0,3,7
Napa,4/5/2020,1,8,,,0,1,11
Siskiyou,4/5/2020,0,2,,,0,2,3
Orange,4/5/2020,144,221,,,70,46,156
Contra Costa,4/5/2020,29,35,,,15,10,74
Del Norte,4/5/2020,0,1,,,0,0,1
Trinity,4/5/2020,0,0,,,0,0,
Monterey,4/5/2020,16,15,,,4,0,23
Sutter,4/5/2020,0,0,,,0,0,
Glenn,4/5/2020,0,0,,,0,0,
Modoc,4/5/2020,0,0,,,0,0,
Merced,4/5/2020,15,10,,,1,3,8
Tuolumne,4/5/2020,0,0,,,0,0,4
Marin,4/5/2020,5,15,,,3,5,13
San Luis Obispo,4/5/2020,2,11,,,2,9,28
Santa Barbara,4/5/2020,31,26,,,18,2,59
Kern,4/5/2020,23,27,,,12,4,40
Los Angeles,4/5/2020,1094,1082,,,473,166,554
Sacramento,4/5/2020,64,78,,,23,26,82
Calaveras,4/5/2020,0,0,,,0,0,6
Lassen,4/5/2020,0,0,,,0,0,
Tulare,4/5/2020,4,20,,,8,2,3
Madera,4/5/2020,0,1,,,0,0,8
Yolo,4/5/2020,3,6,,,3,3,4
San Diego,4/5/2020,179,220,,,89,31,247
Fresno,4/5/2020,16,81,,,8,15,39
Inyo,4/5/2020,9,106,,,1,0,3
Ventura,4/5/2020,21,128,,,7,28,12
Yuba,4/5/2020,1,14,,,1,1,10
Tehama,4/5/2020,0,1,,,0,0,5
Amador,4/5/2020,0,0,,,0,0,2
Sonoma,4/5/2020,6,21,,,2,6,16
San Bernardino,4/5/2020,146,240,,,59,54,70
San Francisco,4/5/2020,79,68,,,37,11,74
Santa Clara,4/5/2020,166,69,,,68,18,90
Alameda,4/5/2020,72,87,,,39,13,113
Nevada,4/5/2020,2,4,,,2,1,3
Riverside,4/5/2020,129,207,,,47,60,130
Butte,4/5/2020,2,16,,,1,6,10
Lake,4/5/2020,0,4,,,0,2,3
San Benito,4/5/2020,3,0,,,2,0,0
Yolo,4/6/2020,4,0,,,3,4,-3
El Dorado,4/6/2020,16,1,,,0,0,10
Tulare,4/6/2020,12,24,,,8,3,16
Mendocino,4/6/2020,0,2,,,0,2,10
Humboldt,4/6/2020,3,12,,,0,3,2
San Francisco,4/6/2020,80,71,,,34,9,71
Amador,4/6/2020,0,0,,,0,0,2
Lake,4/6/2020,0,8,,,0,2,1
Contra Costa,4/6/2020,30,28,,,15,11,78
Mariposa,4/6/2020,0,3,,,0,0,
Yuba,4/6/2020,1,19,,,1,3,7
Mono,4/6/2020,20,2,,,0,0,2
Kings,4/6/2020,3,3,,,2,0,3
Butte,4/6/2020,1,15,,,1,5,9
Los Angeles,4/6/2020,1166,1070,,,486,175,587
Del Norte,4/6/2020,0,3,,,0,0,0
Napa,4/6/2020,0,7,,,0,0,15
Siskiyou,4/6/2020,0,0,,,0,0,5
San Bernardino,4/6/2020,148,185,,,60,43,102
Stanislaus,4/6/2020,28,28,,,12,4,37
Modoc,4/6/2020,0,0,,,0,0,
Merced,4/6/2020,4,2,,,0,2,4
Trinity,4/6/2020,0,0,,,0,0,
Imperial,4/6/2020,9,14,,,7,2,3
Sacramento,4/6/2020,77,78,,,26,19,75
Ventura,4/6/2020,22,106,,,9,20,32
Marin,4/6/2020,8,8,,,4,4,13
Monterey,4/6/2020,16,15,,,5,1,18
Santa Clara,4/6/2020,181,49,,,79,10,100
San Joaquin,4/6/2020,31,32,,,14,3,20
San Luis Obispo,4/6/2020,2,3,,,2,2,42
Placer,4/6/2020,20,12,,,10,1,24
Tuolumne,4/6/2020,0,0,,,0,0,
Fresno,4/6/2020,18,81,,,11,20,45
San Diego,4/6/2020,187,224,,,83,25,270
Madera,4/6/2020,0,2,,,0,1,8
Tehama,4/6/2020,0,0,,,0,0,4
Orange,4/6/2020,145,171,,,73,33,134
Calaveras,4/6/2020,0,0,,,0,0,6
Solano,4/6/2020,15,21,,,6,6,28
Shasta,4/6/2020,6,3,,,2,2,28
Sonoma,4/6/2020,6,18,,,2,4,20
Santa Barbara,4/6/2020,34,26,,,19,5,54
Colusa,4/6/2020,0,0,,,0,0,6
Plumas,4/6/2020,0,0,,,0,0,
San Benito,4/6/2020,3,3,,,2,0,0
Riverside,4/6/2020,129,193,,,46,65,152
Alameda,4/6/2020,79,70,,,43,19,92
Inyo,4/6/2020,9,114,,,1,0,3
Santa Cruz,4/6/2020,5,9,,,4,2,5
Sutter,4/6/2020,0,0,,,,,
San Mateo,4/6/2020,68,20,,,25,5,36
Lassen,4/6/2020,0,0,,,0,0,
Kern,4/6/2020,24,36,,,12,5,39
Glenn,4/6/2020,0,0,,,0,0,
Nevada,4/6/2020,1,5,,,1,2,4
Sacramento,4/7/2020,74,91,,,28,18,72
Calaveras,4/7/2020,0,1,,,0,0,8
Kern,4/7/2020,28,91,,,14,13,50
San Diego,4/7/2020,203,124,,,87,29,189
Madera,4/7/2020,0,3,,,0,1,7
San Luis Obispo,4/7/2020,2,5,,,2,4,30
Lake,4/7/2020,0,0,,,0,0,1
Lassen,4/7/2020,0,1,,,0,0,
Placer,4/7/2020,19,18,,,9,3,20
Butte,4/7/2020,1,14,,,1,5,6
San Benito,4/7/2020,3,3,,,2,0,0
Sutter,4/7/2020,0,0,,,,,
Mono,4/7/2020,20,2,,,0,0,2
Plumas,4/7/2020,0,1,,,0,0,
Napa,4/7/2020,0,5,,,0,3,7
Los Angeles,4/7/2020,1251,1350,,,517,162,603
San Joaquin,4/7/2020,31,33,,,14,4,20
Sonoma,4/7/2020,6,28,,,2,6,21
Stanislaus,4/7/2020,28,40,,,13,9,32
Humboldt,4/7/2020,2,7,,,0,0,7
Orange,4/7/2020,143,144,,,71,29,136
Santa Clara,4/7/2020,187,47,,,77,7,105
Santa Cruz,4/7/2020,4,4,,,4,3,4
Trinity,4/7/2020,0,0,,,0,0,
Nevada,4/7/2020,1,4,,,1,2,3
San Mateo,4/7/2020,63,13,,,26,2,35
Glenn,4/7/2020,0,0,,,0,0,
El Dorado,4/7/2020,16,2,,,0,3,10
Yuba,4/7/2020,2,25,,,1,5,6
Tulare,4/7/2020,8,23,,,5,6,10
Modoc,4/7/2020,0,1,,,0,0,
Santa Barbara,4/7/2020,41,8,,,23,1,48
Tehama,4/7/2020,0,1,,,0,0,2
Mendocino,4/7/2020,0,2,,,0,0,9
Fresno,4/7/2020,20,82,,,11,13,50
Monterey,4/7/2020,18,25,,,5,4,21
Shasta,4/7/2020,5,8,,,2,3,6
Solano,4/7/2020,14,24,,,7,6,31
Merced,4/7/2020,3,3,,,0,3,3
Del Norte,4/7/2020,0,3,,,0,1,2
Riverside,4/7/2020,129,207,,,57,57,129
Alameda,4/7/2020,76,84,,,43,25,90
Ventura,4/7/2020,22,68,,,9,20,31
Imperial,4/7/2020,9,14,,,7,2,3
Siskiyou,4/7/2020,0,1,,,0,1,5
Kings,4/7/2020,3,4,,,2,0,3
Tuolumne,4/7/2020,0,0,,,0,0,0
San Bernardino,4/7/2020,146,178,,,54,49,126
Yolo,4/7/2020,2,3,,,2,1,4
Amador,4/7/2020,0,0,,,0,0,3
Marin,4/7/2020,6,5,,,4,4,12
Mariposa,4/7/2020,0,3,,,0,0,
Inyo,4/7/2020,9,121,,,1,0,3
San Francisco,4/7/2020,88,116,,,36,9,57
Contra Costa,4/7/2020,31,38,,,17,9,82
Colusa,4/7/2020,0,0,,,0,0,6
Santa Clara,4/8/2020,156,34,,,70,6,104
San Luis Obispo,4/8/2020,2,13,,,2,11,22
Mono,4/8/2020,19,8,,,0,0,2
Tuolumne,4/8/2020,0,0,,,0,0,1
Marin,4/8/2020,5,3,,,4,2,17
Sonoma,4/8/2020,6,22,,,2,5,18
Humboldt,4/8/2020,2,3,,,0,0,6
Lassen,4/8/2020,0,1,,,0,0,
Orange,4/8/2020,153,181,,,49,34,201
Riverside,4/8/2020,149,145,,,56,41,154
Napa,4/8/2020,0,7,,,0,1,5
Yuba,4/8/2020,2,24,,,1,3,5
Alameda,4/8/2020,84,69,,,45,18,111
Sutter,4/8/2020,0,0,,,,,
Ventura,4/8/2020,18,73,,,9,14,31
Fresno,4/8/2020,22,63,,,10,8,64
Mendocino,4/8/2020,0,0,,,0,0,7
